TEAM,MATCH_UP,GAME_DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,DREB%,REB%,TS%,PACE,PIE,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,PTS OFF TO,2ND PTS,FBPS,PITP,OPP PTS OFF TO,OPP 2ND PTS,OPP FBPS,OPP PITP,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFF TO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
DAL,DAL @ PHX,8/13/20,L,48,102,39,89,43.8,8,26,30.8,16,19,84.2,11,32,43,17,11,3,4,18,-26,106.3,132,-25.7,43.6,1.55,13.5,76.7,48.4,52.4,96.5,35.2,0.483,0.213,11.5,0.25,0.629,0.236,6.2,0.233,4,17,5,56,14,14,22,60,70.8,29.2,60.8,5.9,23.5,4.9,15.7,3.9,54.9,38.7,61.3,62.5,37.5,43.6,56.4
BOS,BOS vs. WAS,8/13/20,L,48,90,35,88,39.8,8,35,22.9,12,14,85.7,13,38,51,22,19,8,7,19,-6,90.9,97,-6.1,62.9,1.16,16.2,66.1,47.4,47.8,99,47.8,0.443,0.159,19.2,0.273,0.443,0.273,18.2,0.339,15,11,12,48,25,14,22,32,60.2,39.8,60,6.7,26.7,13.3,13.3,16.7,53.3,55.6,44.4,87.5,12.5,62.9,37.1
NOP,NOP @ ORL,8/13/20,L,48,127,48,87,55.2,10,34,29.4,21,27,77.8,9,31,40,22,13,6,4,22,-6,125.7,130.4,-4.6,45.8,1.69,16.3,75.6,53.1,64.2,101.5,49,0.609,0.31,12.9,0.3,0.661,0.357,11.8,0.244,20,17,21,72,23,9,21,50,60.9,39.1,59.8,3.1,23.6,16.5,16.5,15.7,56.7,34.2,65.8,90,10,45.8,54.2
BKN,BKN vs. POR,8/13/20,L,48,133,53,96,55.2,14,33,42.4,13,19,68.4,12,34,46,28,14,5,5,23,-1,127.9,128.8,-1,52.8,2,18.9,62.5,49.5,63.7,104,50.7,0.625,0.198,13.5,0.34,0.543,0.231,8.7,0.375,12,17,13,58,14,29,8,58,65.6,34.4,58.6,15,31.6,9.8,9.8,9,43.6,38.5,61.5,92.9,7.1,52.8,47.2
UTA,UTA vs. SAS,8/13/20,W,48,118,47,101,46.5,15,46,32.6,9,10,90,12,31,43,25,9,7,5,23,6,116.8,112,4.8,53.2,2.78,17.7,76.6,51.5,56,100.5,51.5,0.54,0.099,8.9,0.296,0.557,0.456,15,0.234,20,21,9,62,14,9,9,44,54.5,45.5,54.2,1.7,38.1,7.6,7.6,16.9,52.5,46.9,53.1,66.7,33.3,53.2,46.8
PHX,PHX vs. DAL,8/13/20,W,48,128,49,89,55.1,14,34,41.2,16,21,76.2,7,38,45,34,6,6,4,14,26,132,106.3,25.7,69.4,5.67,24.1,75,51.6,65.1,96.5,64.8,0.629,0.236,6.2,0.233,0.483,0.213,11.5,0.25,14,14,22,60,4,17,5,56,61.8,38.2,54.7,7.8,32.8,17.2,12.5,10.9,46.9,62.9,37.1,85.7,14.3,69.4,30.6
ORL,ORL vs. NOP,8/13/20,W,48,133,48,84,57.1,15,28,53.6,22,30,73.3,6,27,33,25,12,6,2,22,6,130.4,125.7,4.6,52.1,2.08,18.4,70,46.9,68.4,101.5,51,0.661,0.357,11.8,0.244,0.609,0.31,12.9,0.3,23,9,21,50,20,17,21,72,66.7,33.3,49.6,12,33.8,15.8,16.5,17.3,37.6,36.4,63.6,86.7,13.3,52.1,47.9
POR,POR @ BKN,8/13/20,W,48,134,50,104,48.1,13,39,33.3,21,24,87.5,14,28,42,25,9,10,4,21,1,128.8,127.9,1,50,2.78,16.8,66,50.5,58.5,104,49.3,0.543,0.231,8.7,0.375,0.625,0.198,13.5,0.34,14,29,8,58,12,17,13,58,62.5,37.5,55.2,11.9,29.1,6,15.7,10.4,43.3,43.2,56.8,69.2,30.8,50,50
MIL,MIL @ MEM,8/13/20,L,48,106,39,98,39.8,13,41,31.7,15,23,65.2,9,36,45,27,15,8,3,22,-13,96.4,108.2,-11.8,69.2,1.8,18,77.6,45.5,49,110,39.1,0.464,0.235,13.6,0.206,0.572,0.256,16.4,0.224,14,7,4,30,18,6,13,54,58.2,41.8,49.1,20.8,36.8,3.8,14.2,13.2,28.3,61.5,38.5,84.6,15.4,69.2,30.8
LAC,LAC @ DEN,8/12/20,W,48,124,46,85,54.1,14,37,37.8,18,23,78.3,6,34,40,29,8,11,1,25,13,127.8,114.4,13.4,63,3.63,21.8,76.6,49.4,65.2,97,54.2,0.624,0.271,8.2,0.175,0.569,0.218,12.4,0.234,22,9,11,42,7,17,10,52,56.5,43.5,51.6,17.7,33.9,8.9,14.5,17.7,33.9,56.3,43.8,78.6,21.4,63,37
HOU,HOU vs. IND,8/12/20,L,48,104,32,86,37.2,16,57,28.1,24,28,85.7,6,43,49,20,20,8,6,20,-4,95.4,99.1,-3.7,62.5,1,14.5,70.5,46.6,52.9,109,46.8,0.465,0.326,18.3,0.2,0.455,0.22,13.8,0.295,20,11,10,32,25,20,13,46,33.7,66.3,30.8,0,46.2,9.6,23.1,19.2,30.8,50,50,75,25,62.5,37.5
